Role,Prompt,Question,Option A,Option B,Option C,Option D,Correct Answer
Associate Product Manager,Logical Reasoning,Do you see yourself using Logical Reasoning frequently in your career?,Not confident,Very confident,No experience,Somewhat confident,B
Game Programmer,Leadership,Does the idea of practicing Leadership appeal to you?,Definitely not,Not really,Absolutely,Maybe,A
Data Storyteller,Cooperation,Do you see yourself using Cooperation frequently in your career?,Never,Rarely,Neutral,Highly motivated,C
Cyber Threat Intelligence Analyst,Problem Solving,Would you like to improve your Problem Solving?,Very interested,Somewhat interested,Not very interested,Not at all interested,A
Product Owner,Linux Administration,Do you enjoy working on projects that require Linux Administration?,Not confident,No experience,Somewhat confident,Very confident,A
Desktop Application Developer,Written Comprehension,How confident are you in your Written Comprehension?,Not confident,Somewhat confident,No experience,Very confident,A
UX Researcher,Written Comprehension,Do you see yourself using Written Comprehension frequently in your career?,Absolutely,Maybe,Not really,Definitely not,A
Network Security Engineer,Communication,Would you enjoy opportunities focused on Communication?,Rarely,Never,Highly motivated,Neutral,D
Business Technology Consultant,Adaptability,Would you like to improve your Adaptability?,Somewhat interested,Not very interested,Very interested,Not at all interested,A
Automation Engineer,Integrity,Would you like to improve your Integrity?,Maybe,Definitely not,Not really,Absolutely,D
XR Designer,DevOps Practices,Do you see yourself using DevOps Practices frequently in your career?,Somewhat interested,Not at all interested,Very interested,Not very interested,B
Database Architect,System Evaluation,How interested are you in tasks involving System Evaluation?,Rarely,Highly motivated,Never,Neutral,C
Performance Tuning Expert,Time Management,Do you feel motivated by activities involving Time Management?,Maybe,Not really,Absolutely,Definitely not,D
Quantitative Analyst,Written Comprehension,Does the idea of practicing Written Comprehension appeal to you?,Disagree,Strongly disagree,Strongly agree,Agree,C
DevOps Engineer,System Evaluation,Do you feel motivated by activities involving System Evaluation?,Disagree,Agree,Strongly disagree,Strongly agree,C
IT Support Specialist,Leadership,Would you like to improve your Leadership?,Disagree,Agree,Strongly agree,Strongly disagree,A
Data Storyteller,UI/UX Design,Do you enjoy working on projects that require UI/UX Design?,Not confident,Very confident,No experience,Somewhat confident,A
Control Systems Engineer,Problem Solving,Would you enjoy opportunities focused on Problem Solving?,Not confident,Somewhat confident,No experience,Very confident,A
Field Application Engineer,Persistence,Do you feel motivated by activities involving Persistence?,Agree,Strongly disagree,Disagree,Strongly agree,B
Backend Developer,Decision Making,Would you like to improve your Decision Making?,Not very interested,Not at all interested,Somewhat interested,Very interested,C
Cloud Data Engineer,UI/UX Design,How much do you value UI/UX Design in your work environment?,Not at all interested,Very interested,Not very interested,Somewhat interested,C
DApp Developer,Innovation,Would you like to improve your Innovation?,Neutral,Highly motivated,Never,Rarely,C
Full Stack Developer,Decision Making,Do you feel motivated by activities involving Decision Making?,Definitely not,Maybe,Absolutely,Not really,D
Cloud Administrator,API Integration,Would you enjoy opportunities focused on API Integration?,Disagree,Agree,Strongly disagree,Strongly agree,B
Robotics Engineer,Linux Administration,How much do you value Linux Administration in your work environment?,Highly motivated,Never,Rarely,Neutral,D
Agile Product Manager,Creativity,Do you see yourself using Creativity frequently in your career?,Highly motivated,Neutral,Never,Rarely,A
Technical Co-founder,UI/UX Design,To what extent does UI/UX Design excite you?,Agree,Strongly agree,Disagree,Strongly disagree,C
CI/CD Engineer,Problem Solving,How confident are you in your Problem Solving?,Not really,Absolutely,Definitely not,Maybe,A
Security Analyst,Persistence,Would you like to improve your Persistence?,Disagree,Strongly agree,Strongly disagree,Agree,D
Release Engineer,Adaptability,How interested are you in tasks involving Adaptability?,Not confident,No experience,Somewhat confident,Very confident,D
VR Developer,Decision Making,Does the idea of practicing Decision Making appeal to you?,Disagree,Strongly disagree,Agree,Strongly agree,A
Product Designer,Dependability,Do you feel motivated by activities involving Dependability?,Not very interested,Somewhat interested,Very interested,Not at all interested,A
Robot Software Developer,UI/UX Design,To what extent does UI/UX Design excite you?,Not confident,No experience,Very confident,Somewhat confident,A
Frontend Developer,Creativity,How confident are you in your Creativity?,Very interested,Not at all interested,Somewhat interested,Not very interested,D
SOC Analyst,Team Collaboration,Does the idea of practicing Team Collaboration appeal to you?,Never,Rarely,Highly motivated,Neutral,A
Mobile App Tester,Cybersecurity Fundamentals,Do you see yourself using Cybersecurity Fundamentals frequently in your career?,Never,Neutral,Highly motivated,Rarely,A
API Developer,Cloud Computing,Do you feel motivated by activities involving Cloud Computing?,Highly motivated,Rarely,Never,Neutral,C
Startup CTO,API Integration,Do you feel motivated by activities involving API Integration?,Definitely not,Maybe,Absolutely,Not really,C
Network Support Specialist,Leadership,To what extent does Leadership excite you?,Neutral,Highly motivated,Rarely,Never,B
Spark Engineer,Data Analysis,How confident are you in your Data Analysis?,Not really,Maybe,Absolutely,Definitely not,D
Automation Engineer,Integrity,Do you see yourself using Integrity frequently in your career?,No experience,Not confident,Very confident,Somewhat confident,C
Spatial Computing Engineer,Agile Methodology,Do you enjoy working on projects that require Agile Methodology?,Rarely,Never,Highly motivated,Neutral,B
System Software Developer,JavaScript,How confident are you in your JavaScript?,Somewhat interested,Very interested,Not at all interested,Not very interested,D
Big Data Engineer,Creativity,Do you see yourself using Creativity frequently in your career?,Absolutely,Not really,Definitely not,Maybe,B
Hardware-Software Integrator,Machine Learning,Do you feel motivated by activities involving Machine Learning?,Strongly agree,Disagree,Agree,Strongly disagree,B
Build and Release Engineer,Agile Methodology,To what extent does Agile Methodology excite you?,Absolutely,Definitely not,Maybe,Not really,A
ETL Developer,Testing and Debugging,Do you see yourself using Testing and Debugging frequently in your career?,Not really,Maybe,Absolutely,Definitely not,A
Product Strategist,Mobile Development,Would you enjoy opportunities focused on Mobile Development?,Highly motivated,Never,Neutral,Rarely,A
Smart Contract Developer,Agile Methodology,Do you enjoy working on projects that require Agile Methodology?,Never,Rarely,Neutral,Highly motivated,D
Mechatronics Engineer,Adaptability,How interested are you in tasks involving Adaptability?,Somewhat interested,Not very interested,Not at all interested,Very interested,D
Full Stack Developer,Independence,Do you see yourself using Independence frequently in your career?,Not at all interested,Somewhat interested,Very interested,Not very interested,B
Unreal Engine Developer,Mobile Development,Do you see yourself using Mobile Development frequently in your career?,Maybe,Not really,Absolutely,Definitely not,A
Data Engineer,Database Management,Would you enjoy opportunities focused on Database Management?,Never,Neutral,Highly motivated,Rarely,C
IT Technician,Version Control (Git),Do you feel motivated by activities involving Version Control (Git)?,Definitely not,Absolutely,Not really,Maybe,D
WordPress Developer,Innovation,How much do you value Innovation in your work environment?,Very confident,Not confident,Somewhat confident,No experience,D
Crypto Wallet Developer,Time Management,How much do you value Time Management in your work environment?,Not very interested,Very interested,Not at all interested,Somewhat interested,C
Game Designer,Data Analysis,Would you enjoy opportunities focused on Data Analysis?,Very interested,Not at all interested,Not very interested,Somewhat interested,C
Accessibility Designer,Communication,Would you like to improve your Communication?,Not confident,Very confident,No experience,Somewhat confident,C
Associate Product Manager,Leadership,How interested are you in tasks involving Leadership?,Very confident,Somewhat confident,No experience,Not confident,D
Database Architect,Persistence,Would you enjoy opportunities focused on Persistence?,Disagree,Strongly agree,Strongly disagree,Agree,C
Data Analyst,Machine Learning,Do you feel motivated by activities involving Machine Learning?,Not at all interested,Not very interested,Very interested,Somewhat interested,A
Data Engineer,Adaptability,How interested are you in tasks involving Adaptability?,Never,Highly motivated,Rarely,Neutral,A
Control Systems Engineer,Adaptability,Do you enjoy working on projects that require Adaptability?,Rarely,Neutral,Never,Highly motivated,C
Wireless Network Specialist,Decision Making,How much do you value Decision Making in your work environment?,Maybe,Not really,Definitely not,Absolutely,A
